story,storypiece,joy,awe,love,peaceful,connected,happy,excited,curious,calm,fine,bored,tired,disappointed,annoyed,sad,depressed,miserable,stressed,anxious,angry
ind,slide 02,0,0,0,7,0,0,1,7,14,24,0,0,0,0,0,0,0,0,0,0
ind,slide 03,4,4,2,2,7,5,4,11,1,8,0,0,0,0,2,0,0,0,2,0
ind,slide 05,0,2,0,0,4,0,0,17,1,1,0,1,1,0,11,2,2,0,4,0
ind,slide 06,0,0,1,0,3,0,0,10,0,1,0,2,2,0,15,4,7,0,2,0
ind,slide 09,0,0,1,0,2,0,0,10,0,1,0,0,0,0,12,9,8,0,6,0
ind,slide 10,0,0,0,0,1,0,0,23,5,1,0,2,0,1,3,1,0,3,1,0
ind,slide 13,0,0,0,0,1,0,1,25,3,3,2,2,0,0,0,1,0,2,2,0
ind,slide 16,0,0,0,0,1,0,0,24,4,8,0,0,0,0,0,0,0,0,4,0
ind,slide 17,0,0,0,0,1,0,0,23,3,7,0,0,0,0,5,2,1,0,4,0
ind,slide 19,0,0,0,0,1,0,0,19,2,3,0,2,0,0,7,4,0,1,6,0
ind,slide 21,0,0,0,0,2,0,0,19,1,1,0,0,0,0,9,6,0,0,7,0
ind,slide 24.1,0,0,0,0,2,0,0,23,2,5,1,0,0,0,3,1,0,4,2,0
ind,slide 24.2,0,0,0,0,3,0,0,17,0,4,2,0,0,0,4,3,2,3,3,0
ind,slide 25,2,4,8,5,4,3,0,7,7,10,0,0,1,0,1,1,0,0,1,0
xgen,slide 02,2,4,0,2,0,0,1,14,4,3,0,0,1,0,4,0,0,0,0,0
xgen,slide 03,2,4,0,0,5,0,0,7,1,2,0,0,0,1,6,1,2,1,1,0
xgen,slide 05,2,6,0,0,2,0,0,8,2,3,0,0,1,0,5,0,1,0,0,0
xgen,slide 06,2,2,0,0,1,0,0,7,5,1,0,0,0,0,8,2,1,2,0,0
xgen,slide 09,0,5,0,0,1,0,0,7,3,1,0,0,1,0,9,4,2,0,1,0
xgen,slide 10,0,2,0,1,1,0,0,22,3,1,0,0,0,0,1,0,0,0,0,0
xgen,slide 13,1,1,0,0,2,0,0,19,1,1,0,2,0,0,0,2,0,0,0,0
xgen,slide 16,0,1,0,0,3,0,0,16,2,3,0,0,0,0,0,0,0,2,0,0
xgen,slide 17,1,9,0,0,0,0,3,11,0,3,0,0,0,0,4,1,0,1,2,0
xgen,slide 19,1,4,0,0,2,0,1,16,0,2,0,0,0,1,3,2,1,0,0,0
xgen,slide 21,0,5,0,0,1,0,0,13,1,1,0,0,0,0,3,4,2,0,3,0
xgen,slide 24.1,1,4,0,0,3,0,1,13,1,5,0,0,0,0,4,0,0,0,0,0
xgen,slide 24.2,0,2,0,0,4,0,0,15,3,1,0,0,0,0,5,1,0,1,0,0
xgen,slide 25,5,4,3,7,5,2,1,2,7,6,0,0,1,1,0,0,0,0,0,0
